contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
policy_shipped,homogeneous,30000-30039,40,128,294.80110174346146,446.1860512031768,465.46213457739293,234.6760829388204,58.12500000000001,16.49117537265377,-3.1483383598493333,0.5165927734375
policy_shipped,homogeneous,31000-31039,40,128,331.1160174864078,453.8085804815616,466.81017994654536,280.6491210735438,72.9296875,22.57348249977907,-3.9184478353229992,0.51763134765625
policy_shipped,homogeneous,32000-32039,40,128,302.91390153564686,453.1285696552665,466.7711750760738,245.4423501845112,64.94140625,21.181225394251594,-3.5412623413763784,0.5171860351562498
policy_shipped,homogeneous,33000-33039,40,128,331.45900770375397,457.0242272458304,467.1526200576139,281.2596380873071,72.12890625,21.26796744723738,-3.844172809366351,0.51761669921875
policy_shipped,homogeneous,34000-34039,40,128,329.5698768917687,455.5865057272363,467.1208935060875,268.1183544279291,69.296875,21.479112831035955,-3.7446530121001587,0.5173237304687499
candidate_v2,homogeneous,30000-30039,40,128,23.050862188781068,402.4743884968954,557.9169572889184,65.59051486656344,11.171875,3.8943459136607697,-0.8322339784051408,0.22600624980421374
candidate_v2,homogeneous,31000-31039,40,128,24.799354431963792,405.7037974274384,555.2778930831844,75.87579757446221,13.92578125,4.278563969746788,-0.958801640130569,0.22866049502566216
candidate_v2,homogeneous,32000-32039,40,128,23.723511536119943,462.8229758083321,660.0,94.50490044687159,18.45703125,6.473352035360967,-1.2320589523332859,0.24094300604007576
candidate_v2,homogeneous,33000-33039,40,128,24.116329849280298,405.2499271528761,551.1806691996429,75.9238240390849,14.140625000000002,4.378786183691482,-0.9656290056202529,0.22912069030013393
candidate_v2,homogeneous,34000-34039,40,128,24.426570028344607,410.7441356361518,576.406259195389,74.82345621863594,13.496093749999998,4.266690623990667,-0.9428890801713546,0.22838821869007617
candidate_a2c,homogeneous,30000-30039,40,128,23.032640189019418,660.0,660.0,89.75738933941007,12.16796875,4.835534066622343,-1.0162546738351845,0.22874392229680449
candidate_a2c,homogeneous,31000-31039,40,128,24.764169038072055,660.0,660.0,140.32271261611754,23.18359375,7.496658724010179,-1.5876039299943674,0.2484679993238686
candidate_a2c,homogeneous,32000-32039,40,128,23.706915308184307,660.0,660.0,145.06500169603146,23.02734375,8.761888656473872,-1.6721158228767063,0.25187171265407227
candidate_a2c,homogeneous,33000-33039,40,128,24.097200403794258,621.4395369133528,660.0,119.3244068291189,20.15625,6.620459427160068,-1.3903424878052697,0.24535677547343965
candidate_a2c,homogeneous,34000-34039,40,128,24.403275413450444,660.0,660.0,114.33286564730815,18.37890625,6.070502912146875,-1.3087674817440564,0.23964010806551522
candidate_sac,homogeneous,30000-30039,40,128,24.169181900752335,659.9280170374617,660.0,84.60406200268378,10.546875,4.587691965432661,-0.985863552451373,0.3290662426945807
candidate_sac,homogeneous,31000-31039,40,128,25.507729528898658,660.0,660.0,104.5568126746945,14.21875,5.31348182839285,-1.1771876236374896,0.2888303663225714
candidate_sac,homogeneous,32000-32039,40,128,24.82495129184683,660.0,660.0,131.70929838968883,18.22265625,8.017799654964222,-1.5207282128089574,0.33447273235806446
candidate_sac,homogeneous,33000-33039,40,128,25.076516910239107,660.0,660.0,99.47436609897287,12.675781250000002,5.125269423913503,-1.118869758439034,0.2931759393240624
candidate_sac,homogeneous,34000-34039,40,128,25.3095274139692,659.8969196797121,660.0,91.05075550180143,11.50390625,4.6817273594266595,-1.0359822329401545,0.2921236789750699
candidate_dqn,homogeneous,30000-30039,40,128,22.846938667669384,660.0,660.0,62.59295710511053,6.0546875,2.088422765269255,-0.6392970274892916,0.218095703125
candidate_dqn,homogeneous,31000-31039,40,128,24.51258122025767,107.89701464867778,660.0,54.458180106561656,3.80859375,1.3295783643478327,-0.5384015971416041,0.21162109375
candidate_dqn,homogeneous,32000-32039,40,128,23.451842407502806,660.0,660.0,78.03307279173634,7.656250000000001,3.2198331740320074,-0.8141527905771231,0.226376953125
candidate_dqn,homogeneous,33000-33039,40,128,23.85196252855221,114.0250788803388,660.0,56.006962865569605,4.1015625,1.9284004179257785,-0.5812534923880609,0.21593749999999998
candidate_dqn,homogeneous,34000-34039,40,128,24.152758467030697,336.2146733243316,660.0,61.77246582971217,5.21484375,2.0807237088320987,-0.6326060463519462,0.217587890625
round_robin,homogeneous,30000-30039,40,128,25.79947425654138,499.4820144231795,521.4473127669372,112.3771025219553,20.15625,5.697714334544635,-1.3306148264803235,0.2678255208333334
round_robin,homogeneous,31000-31039,40,128,30.747628761028004,513.9647734700379,521.8010826901165,180.04981779118685,35.9375,9.162770581431952,-2.102044787168535,0.28605685763888894
round_robin,homogeneous,32000-32039,40,128,27.461623723022647,513.3651115614383,525.6569097928954,187.62120463960014,38.26171875,10.500438334310669,-2.229147880218933,0.2884895833333333
round_robin,homogeneous,33000-33039,40,128,28.620465038034638,515.0069139229144,525.6395000952791,172.54722174695542,33.06640625,8.850630240804762,-2.0027837599895744,0.2837782118055555
round_robin,homogeneous,34000-34039,40,128,29.556726529688014,516.2006303888726,523.9200825579488,174.31459828664214,35.2734375,8.706230638549217,-2.038275133494258,0.2845138888888889
least_connections,homogeneous,30000-30039,40,128,25.79947425654138,499.4820144231796,521.4473127669372,112.3771025219553,20.15625,5.697714334544635,-1.3306148264803235,0.2678255208333334
least_connections,homogeneous,31000-31039,40,128,30.747628761027997,513.9647734700379,521.8010826901166,180.04981779118685,35.9375,9.16277058143195,-2.102044787168535,0.28605685763888894
least_connections,homogeneous,32000-32039,40,128,27.461623723022655,513.3651115614383,525.6569097928954,187.62120463960014,38.26171875,10.500438334310669,-2.229147880218933,0.2884895833333333
least_connections,homogeneous,33000-33039,40,128,28.620465038034645,515.0069139229144,525.6395000952791,172.5472217469554,33.06640625,8.850630240804762,-2.0027837599895744,0.2837782118055555
least_connections,homogeneous,34000-34039,40,128,29.556726529688007,516.2006303888726,523.9200825579488,174.31459828664214,35.2734375,8.706230638549217,-2.038275133494258,0.2845138888888889
random_shadow,homogeneous,30000-30039,40,128,25.806150042082713,615.7263819390021,660.0,133.3139844630825,23.671875,6.818359529383406,-1.5534249906553605,0.29459318489818875
random_shadow,homogeneous,31000-31039,40,128,34.32254458089557,653.8546731248889,660.0,202.10100050503522,39.16015625,10.48737332911273,-2.3334309775368567,0.31326634775514267
random_shadow,homogeneous,32000-32039,40,128,29.295127492055926,660.0,660.0,209.7399158358789,39.70703125,12.24044506232379,-2.4608518070138268,0.32025776235557685
random_shadow,homogeneous,33000-33039,40,128,30.907015176435483,654.3586027549608,660.0,192.85360407368722,36.85546875,10.261824897348319,-2.2376653590648736,0.31280408598437515
random_shadow,homogeneous,34000-34039,40,128,32.13562090527174,659.9999999999999,660.0,192.3631326972624,37.05078125,9.8363213578161,-2.2199029911425914,0.31070438052181465
join_shortest_queue,homogeneous,30000-30039,40,128,22.957913235487084,660.0,660.0,74.62882614752918,7.83203125,3.352992416746293,-0.8057820337962938,0.23223861882864277
join_shortest_queue,homogeneous,31000-31039,40,128,24.928367962582712,660.0,660.0,71.53812617327989,6.992187499999999,2.5282318520943825,-0.7472752998761518,0.22119860170138952
join_shortest_queue,homogeneous,32000-32039,40,128,24.300106076935435,660.0,660.0,100.565726859536,11.97265625,4.813404505981974,-1.0915677950863256,0.2373850982062288
join_shortest_queue,homogeneous,33000-33039,40,128,24.59253069274537,337.65170271626596,660.0,63.88316940917135,5.4296875,2.3001437743959583,-0.6758387269692678,0.21666136270137687
join_shortest_queue,homogeneous,34000-34039,40,128,24.795209660971473,660.0,660.0,66.68252423009285,6.3671875,2.3605565981104677,-0.7020776635657142,0.22195008665691235
power_of_two_choices,homogeneous,30000-30039,40,128,23.16865641022968,660.0,660.0,78.6002449377467,8.88671875,3.4301765256266976,-0.8499851291750181,0.23073573274087247
power_of_two_choices,homogeneous,31000-31039,40,128,25.109765564245393,660.0,660.0,79.60962284063548,8.57421875,3.140784107931252,-0.8529855176924503,0.22891394022076667
